pagina,LOCAL,EMPATE,VISITA,LE,EV,LV,MAS 2.5,MENOS 2.5,AMBOS SI,AMBOS NO,LOCAL AMBOS SI,LOCAL AMBOS NO,VISITA AMNBOS SI,VISITA AMBOS NO,EMPATE AMBOS SI,EMPATE AMBOS NO,LOCAL-LOCAL,LOCAL-EMPATE,LOCAL-VISITA,EMPATE-LOCAL,EMPATE-EMPATE,EMPATE-VISITA,VISITA-LOCAL,VISITA-EMPATE,VISITA-VISITA,LINEA GOL L,LINEA GOL V,LE NO VALIDO,V E NO VALIDO,H ASIATICO L,H ASIATICO E,H ASIATICO V,R.H.A L1,R. H. A. L2,R.H.A L3,R. H. A. L4,R. H. A. E1,R. H. A. E2,R. H. A. E3,R. H. A. E4,R. H. A. V1,R. H. A. V2,R. H. A. V3,R. H. A. V4,L.G.A 0.5 +,L.G.A 0.5 -,L.G.A 0.5 1.0 +,L.G.A 0.5 1.0 -,L.G.A 1.0 +,L.G.A 1.0 -,L.G.A 1.0 1.5 +,L.G.A 1.0 1.5 -,L.G.A 1.5 +,L.G.A 1.5 -,L.G.A 1.5 2.0 +,L.G.A 1.5 2.0 -,L.G.A 2.0 +,L.G.A 2.0 -,L.G.A 2.0 2.5 +,L.G.A 2.0 2.5 -,L.G.A 2.5 +,L.G.A 2.5 -,L.G.A 2.5 3.0 +,L.G.A 2.5 3.0 -,L.G.A 3.0 +,L.G.A 3.0 -,L.G.A 3.0 3.5 +,L.G.A 3.0 3.5 -,L.G.A 3.5 +,L.G.A 3.5 -,L.G.A 3.5 4.0 +,L.G.A 3.5 4.0 -,L.G.A 4.0 +,L.G.A 4.0 -,L.G.A 4.0 4.5 +,L.G.A 4.0 4.5 -,L.G.A 4.5 +,L.G.A 4.5 -,L.G.A 4.5 5.0+,L.G.A 4.5 5.0-,L.G.A 5.0+,L.G.A 5.0-,L.G.A 5.0 5.5+,L.G.A 5.0 5.5-,L.G.A 5.5+,L.G.A 5.5-,L.G.A 5.5 6.0+,L.G.A 5.5 6.0-,L.G.A. 6.0+,L.G.A. 6.0-,L.G.A 6.0 6.5+,L.G.A 6.0 6.5-,L.G.A 6.5+,L.G.A 6.5-,L.G.A 6.5 7.0+,L.G.A 6.5 7.0-,L.G.A. 7.0+,L.G.A. 7.0-,L.G.A 7.0 7.5+,L.G.A 7.0 7.5-,LOCAL HT,EMPATE HT,VISITA HF,LE HT,EV HT,LV HT,LOCAL AMBOS HF SI,LOCAL AMBOS HF NO,VISITA AMBOS HF SI,VISITA AMBOS HF NO,EMPATE AMBOS HF SI,EMPATE AMBOS HF NO,LOCAL GOLES MAS HF,LOCAL GOLES MENOS HF,VISITA GOLES MAS HF,VISITA GOLES MENOS HF,EMPATE GOLES MAS HF,EMPATE GOLES MENOS HF,1 MITAD MAS GOLES,2 MITAD MAS GOLES,EMPATE,MAS 0.5,MENOS 0.5,MAS 1.5,MENOS 1.5,MAS 3.5,MENOS 3.5,MAS 4.5,MENOS 4.5,MAS 5.5,MENOS 5.5,MAS 6.5,MENOS 6.5,MAS 7.5,MENOS 7.5,MAS 8.5,MENOS 8.5,MAS 9.5,MENOS 9.5,MAS 10.5,MENOS 10.5,MAS 11.5,MENOS 11.5,L MAS DE 2.5,L MENOS DE 2.5,V MAS 2.5,V MENOS 2.5,E MAS 2.5,E MENOS 2.5,MAS DE 2.5 YSI ,MAS DE 2.5 Y NO,MENOS DE 2.5 YSI,MENOS DE 2.5 Y NO,0 GOL,1 GOL,2 GOL,3 GOL,4 GOL,5 GOL,6 GOL,7 O MAS GOLES,MENOS 2 GOLES,2 O 3,MAS DE 3 GOLES,AMBOS EQUIPOS,LOCAL SOLO,SIN GOL,VISITA SOLO,1a MITAD - AMBOS ANOTARAN/SI,1a MITAD - AMBOS ANOTARAN/NO,2a MITAD - AMBOS ANOTARAN/SI,2a MITAD - AMBOS ANOTARAN/NO,AMBOS SI/SI,AMBOS SI/NO,AMBOS NO /SI,AMBOS NO/NO,1/T -GOLES +0.5,1/T -GOLES -0.5,1/T -GOLES +1.5,1/T -GOLES -1.5,1/T -GOLES +2.5,1/T -GOLES -2.5,1/T -GOLES +3.5,1/T -GOLES -3.5,1/T -GOLES +4.5,1/T -GOLES -4.5,1/T -GOLES +5.5,1/T -GOLES -5.5,1/M 0 GOLES,1/M 1 GOL,1/M 2 GOLES,1/M 3 GOLES,1/M 4 GOLES,1/M 5 GOLES +,EQUIPO ANOTARA/L,EQUIPO ANOTARA/0,EQUIPO ANOTARA/V,G/TEMPRANO-MIN,DATO,S/G TEMPRANO-MIN,DATO,G/TARDIO-MIN,DATO,S/G TARDIO-MIN,DATO,01-oct,nov-20,21-30,31-40,41-50,51-60,61-70,71-80,81-PITIDO FINAL,SIN GOL,0.5+,0.5-,1.5+,1.5-,2.5+,2.5-,3.5+,3.5-,4.5+,4.5-,5.5+,5.5-,6.5+,6.5-,2/M 0 GOLES,2/M 1 GOL,2/M 2 GOLES,2/M 3 GOLES,2/M 4 GOLES,2/M 5 GOLES +,L-1/M,L-2/M,L/EMPATE,V-1/M,V-2/M,V/EMPATE,P. L. SI,P. L. NO,P. V. SI,P. V. NO,L + DE 0.5,L - DE 0.5,L + DE 1.5,L - DE 1.5,L + DE 2.5,L - DE 2.5,L + DE 3.5,L - DE 3.5,L + DE 4.5,L - DE 4.5,L + DE 5.5,L - DE 5.5,L + DE 6.5,L - DE 6.5,L + DE 7.5,L - DE 7.5,L + DE 8.5,L - DE 8.5 ,L + DE 9.5,L - DE 9.5,V+ DE 0.5,V- DE 0.5,V+ DE 1.5,V- DE 1.5,V+ DE 2.5,V- DE 2.5,V+ DE 3.5,V- DE 3.5,V+ DE 4.5,V- DE 4.5,V+ DE 5.5,V- DE 5.5,V+ DE 6.5,V- DE 6.5,V+ DE 7.5,V- DE 7.5,LOCAL 0 GOL,LOCAL 1 GOL,LOCAL 2 GOLES,LOCAL 3 O MAS GOLES,VISITA 0 GOL,VISITA 1 GOL,VISITA 2 GOLES,VISITA 3 O MAS GOLES,M.V.1L,M.V.1V,M.V.2L,M.V.2V,M.V.3L,M.V.3V,M.V.4+L,M.V.4+V,M.V.EMPATE,M.V.SIN GOL,L. GOL MIN,DATO,L.SIN GOL MIN,DATO,V. GOL MIN,DATO,V.SIN GOL MIN,DATO,G/IMPAR,G/PAR,LOCAL PAR,LOCAL IMPAR,VISITA PAR,VISITA IMPAR,1G/IMPAR,1G/PAR,EQUIPO ANOTARA/L,EQUIPO ANOTARA/0,EQUIPO ANOTARA/V,REULTADO HF,RESULTADO FINAL,CORNERS,CORNERS LOCAL,CORNERS VISITA,TARJETA AMARILLA,TARJETA ROJA,CORNERS LOCAL,CORNERS VISITA,TARJETA AMARILLA,TARJETA ROJA,,,,,,,
,1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,2.png,,,,,,,,,,,,,,,,,3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.png,,,,,,,,,,,,,,,,,,5.png,,,6.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.png,,,,,,,,,,,,,,,,,,,,,,,,,,
[10],1.53,4.2,6.5,1.11,2.37,1.22,1.72,2.07,1.83,1.83,3.25,2.62,11,11,5.5,12,2.37,15,41,4.33,6.5,12,21,17,9.5,1.975,1.875,1.2,4.33,2.4,3.75,2.37,9.5,4.5,1.11,1.03,7.5,4.5,8,19,1.18,1.53,13,FALTA,,,,,,,1.14,5.75,1.23,4,1.275,3.55,1.35,3.1,1.55,2.375,1.75,2.05,,,2.25,1.625,2.5,1.5,2.75,1.425,3.45,1.3,4.4,1.2,4.8,1.175,5.25,1.16,6.6,1.11,,,,,,,,,,,,,,,,,,,,,2.1,2.37,5.5,1.12,1.66,1.53,13,2.37,29,6,8,3.25,4.33,3.6,17,7.5,8,3.25,3.1,2,3.75,1.04,13,1.22,4,2.75,1.4,5.5,1.14,11,1.05,23,1.012,51,1.002,,,,,,,,,2.3,4,9.5,12,13,5.5,2.25,6,8,2.6,12,5.5,3.75,4,5.5,9,17,23,4,2,2.75,1.83,2.62,12,11,4.5,1.18,3.4,1.3,15,6,4,1.57,1.33,3.25,2.62,1.44,6.5,1.11,19,1.02,,,,,3.25,2.6,4,9,23,51,1.36,12,3.25,27:00:00,1.83,27:00:00,1.83,76:59:00,1.83,76:59:00,1.83,4.33,4.75,6,7,8,13,17,21,21,12,1.2,4.33,1.9,1.8,4,1.22,10,1.062,23,1.012,,,,,4.33,2.87,3.5,6,13,23,3.2,2.2,2.87,4,3,1.83,2.2,1.61,6.5,1.11,1.11,6.5,1.61,2.2,2.75,1.4,6,1.12,15,1.03,,,,,,,,,,,1.61,2.2,4,1.22,13,1.04,41,1.004,,,,,,,,,6.5,3.25,3.25,2.75,2.2,2.5,5.5,13,3.75,8,4.5,19,7.5,51,9.5,126,5.5,12,38:00:00,1.83,78:00:00,1.83,38:00:00,1.83,78:00:00,1.83,1.97,1.87,1.83,1.83,1.61,2.2,2.1,1.72,1.36,12,3.25,,,,,,,,,,,,,,,,,,
[100],1.95,3.6,3.75,1.25,1.8,1.28,2.1,1.72,1.9,1.8,4.5,3.25,8,6,5,9,3.2,15,34,4.75,5,8,26,15,6.5,1.875,1.975,1.44,2.62,3.75,3.75,1.8,21,8.5,1.25,12,12,5.5,5,23,1.062,1.25,1.055,FALTA,,,,,,,1.225,4.1,1.35,3.1,1.45,2.675,1.575,2.35,,,2.1,1.7,2.425,1.525,3.1,1.35,3.45,1.3,3.8,1.25,4.8,1.175,7,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,2.62,2.1,4.5,1.16,1.44,1.66,19,2.87,29,4.75,8,2.62,6.5,4,13,5.5,8.5,2.62,3.1,2.1,3.4,1.071,9,1.36,3.2,4,1.25,8,1.083,17,1.025,34,1.005,,,,,,,,,,,3.4,4,7,7,15,4.33,2.5,9.5,7,2.1,9,4.33,3.5,4.33,6.5,13,26,34,3.2,1.95,4,1.9,3.25,9,6,5.5,1.14,3.75,1.25,19,6.5,4,1.5,1.44,2.62,3.25,1.33,9,1.071,26,1.01,,,,,2.62,2.5,4.33,11,34,81,1.61,9,2.62,31:00:00,1.83,31:00:00,1.83,73:59:00,1.83,73:59:00,1.83,5,5.5,6.5,7,8,12,15,17,17,9,1.28,3.5,2.25,1.57,5.5,1.14,15,1.03,,,,,,,3.5,2.62,3.75,7.5,19,34,3.4,2.4,2.4,4,2.87,1.95,2.5,1.5,3.75,1.25,1.25,3.75,2.1,1.66,4.5,1.18,13,1.04,29,1.006,,,,,,,,,,,1.5,2.5,3.5,1.28,11,1.05,29,1.006,,,,,,,,,3.75,2.62,3.6,4.5,2.5,2.5,4.75,11,3.75,5,5.5,12,12,29,21,51,5,9,49:00:00,1.83,72:00:00,1.83,49:00:00,1.83,72:00:00,1.83,1.95,1.9,1.8,1.9,1.66,2.1,2.1,1.72,1.61,9,2.62,,,,,,,,,,,,,,,,,,
[101],2.7,3.3,2.7,1.44,1.44,1.33,2.1,1.72,1.83,1.83,5.5,4.33,5.5,4.33,4.5,9,4.33,15,29,6,4.75,6,29,15,4.33,1.875,1.975,1.83,1.83,1.44,4.33,5.5,13,5.5,1.12,1.03,8,4.33,8,34,1.12,1.44,13,FALTA,,,,,,,1.225,4.1,1.35,3.1,1.45,2.675,1.575,2.35,,,2.1,1.7,2.425,1.525,3.1,1.35,3.45,1.3,3.7,1.26,4.65,1.18,7,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,2.05,3.4,1.3,1.3,1.72,23,3.75,23,3.75,8,2.62,9,4.5,9,4.5,8,2.62,3.2,2.05,3.4,1.071,9,1.36,3.2,4,1.25,8,1.083,17,1.025,34,1.005,,,,,,,,,,,4.75,5.5,4.75,5.5,13,4,2.4,11,6,2.2,9,4.33,3.4,4.33,6.5,13,26,34,3.2,1.95,4,1.83,4.33,9,4.33,5,1.16,3.5,1.28,17,6.5,4,1.53,1.44,2.62,3.25,1.33,9,1.071,26,1.01,,,,,2.62,2.5,4.5,12,34,81,2,9,2,31:00:00,1.83,31:00:00,1.83,72:59:00,1.83,72:59:00,1.83,5,5.5,6.5,7.5,8,12,15,17,17,9,1.25,3.75,2.2,1.61,5,1.16,15,1.03,,,,,,,3.75,2.62,3.6,7.5,19,34,3.6,2.6,2.2,3.6,2.6,2.2,3.25,1.33,3.25,1.33,1.33,3.25,2.62,1.44,7,1.1,19,1.02,51,1.002,,,,,,,,,,,1.33,3.25,2.62,1.44,7,1.1,19,1.02,51,1.002,,,,,,,3.25,2.5,4,7,3.25,2.5,4,7,4.33,4.33,8,8,19,19,34,34,4.5,9,58:00:00,1.83,58:00:00,1.83,58:00:00,1.83,58:00:00,1.83,2,1.85,1.72,2,1.72,2,2.1,1.72,2,9,2,,,,,,,,,,,,,,,,,,
[102],1.33,5.25,9,1.071,3.25,1.16,1.66,2.2,2,1.72,3.1,2.1,15,15,7,13,1.95,17,51,3.75,7.5,19,19,21,15,1.825,2.025,1.1,7,1.9,3.75,3.25,6.5,3.4,1.071,1.015,6,4,11,29,1.3,1.83,23,FALTA,,,,,,,1.12,6.25,1.2,4.4,1.24,3.9,1.3,3.45,1.475,2.6,1.65,2.2,,,2.05,1.75,2.35,1.575,2.6,1.475,3.1,1.35,3.9,1.24,4.25,1.21,4.65,1.18,5.9,1.13,,,,,,,,,,,,,,,,,,,,,1.8,2.5,8,1.062,1.9,1.5,12,2.05,41,8,9,3.4,3.5,3.25,23,9.5,9,3.4,3,2,3.75,1.03,15,1.2,4.5,2.62,1.5,4.5,1.2,9,1.071,19,1.02,34,1.005,,,,,,,,,1.95,3.6,15,15,19,6,2.4,4.5,10,2.6,13,5.5,4,4,5.5,8.5,17,19,4.5,2.05,2.62,2,2.1,13,15,5,1.16,3.75,1.25,19,6,4.33,1.5,1.3,3.4,2.5,1.5,6,1.12,17,1.025,,,,,3.4,2.6,3.75,8,21,41,1.22,13,4.33,26:00:00,1.83,26:00:00,1.83,77:59:00,1.83,77:59:00,1.83,4.33,4.75,6,7,8,13,17,21,21,13,1.18,4.5,1.83,1.83,3.75,1.25,10,1.062,23,1.012,,,,,4.5,2.87,3.4,6,13,23,3.1,2.1,3.1,4.5,3.4,1.66,1.83,1.83,8,1.083,1.083,0.58.00,1.44,2.62,2.37,1.53,4.5,1.18,,,23,1.012,,,,,,,,,1.83,1.83,5.5,1.14,19,1.02,,,,,,,,,,,8,3.75,3.25,2.37,1.83,2.5,6.5,19,3.75,11,4,29,6,81,6.5,301,7,13,34:00:00,1.83,79:00:00,2.1,34:00:00,1.83,79:00:00,1.66,1.92,1.92,1.83,1.83,1.53,2.37,2,1.8,1.22,13,4.33,,,,,,,,,,,,,,,,,,
[103],3.4,3.6,2.05,1.72,1.3,1.28,1.66,2.2,1.57,2.25,5.5,6.5,3.75,4,4.33,13,5,13,21,7.5,6,5.5,26,13,3.4,1.875,1.975,2.37,1.53,1.72,4,1,17,6.5,1.25,1.062,10,5,6,12,1.09,1.3,8,19,,,,,,,1.125,6,1.21,4.25,1.25,3.8,1.3,3.45,1.5,2.5,2.5,1.675,,,2.1,1.7,2.375,1.55,2.675,1.45,3.1,1.35,4.1,1.225,4.4,1.2,4.8,1.175,6.25,1.12,,,,,,,,,,,,,,,,,,,,,3.6,2.3,2.75,1.4,1.28,1.57,19,4.33,15,3.1,7,3.25,9,5.5,6,4.33,7,3.25,3.1,1.95,3.75,1.04,13,1.22,4.33,2.75,1.44,5,1.16,10,1.062,19,1.02,41,1.004,,,,,,,,,4.75,8,3.1,5.5,10,5,1.9,9.5,7,2.87,13,6,3.75,4,5,9,17,19,4.33,2.05,2.75,1.57,6.5,13,4,4,1.22,2.75,1.4,11,5.5,3.4,1.72,1.33,3.25,2.5,1.5,6.5,1.11,17,1.025,,,,,3.25,2.6,4,8.5,23,51,2.3,13,1.66,26:00:00,1.83,26:00:00,1.83,77:59:00,1.83,77:59:00,1.83,4.33,4.75,6,7,8,13,17,21,21,13,1.18,4.5,1.83,1.83,3.75,1.25,9,1.071,21,1.015,,,,,4.5,3,3.4,6,13,21,3.6,2.5,2.3,3.4,2.3,2.6,4.5,1.18,3.4,1.3,1.3,3.4,2.5,1.5,56,1.12,17,1.025,41,1.004,51,1.002,,,,,,,,,1.18,4.5,1.83,1.83,3.75,1.25,10,1.062,23,1.012,,,,,,,3.4,2.5,3.75,6,4.5,2.87,3.4,3.75,5,4,10,6,21,12,41,19,4.33,13,55:00:00,1.83,44:00:00,1.83,55:00:00,1.83,44:00:00,1.83,2,1.85,1.72,2,1.8,1.9,2,1.8,2.3,13,1.66,,,,,,,,,,,,,,,,,,
[108],10,5,1.28,3.5,1.062,1.16,1.7,2.1,2.2,1.61,19,15,3.25,1.9,7,12,17,21,21,19,7.5,3.75,51,19,1.9,1.9,1.95,8,1.083,1.83,4,3.25,26,3.5,1.33,1.1,12,3.75,5.5,10,1.062,1.83,6.5,13,,,,,,,1.13,5.9,1.22,4.15,1.26,3.7,1.325,3.3,1.5,2.5,2.5,1.7,,,2.15,1.675,2.425,1.525,2.675,1.45,3.3,1.325,4.15,1.22,4.5,1.19,1.19,4.5,6.4,1.115,,,,,,,,,,,,,,,,,,,,,8.5,2.5,1.8,1.9,1.05,1.5,41,9,13,1.95,9.5,3.25,29,10,3.5,3.2,9.5,3.25,3,2.05,3.75,1.03,15,1.22,4,2.62,1.44,5,1.16,11,1.05,21,1.015,41,1.004,,,,,,,,,17,17,1.95,3.25,21,6,2.62,4,10,2.5,12,5.5,3.75,4,5.5,9,17,23,4,2,2.62,2.2,15,12,1.9,5.5,1.14,1.22,FALTA,21,6.5,4.5,1.4,1.33,3.25,2.5,1.5,6.5,1.11,17,1.025,,,,,3.25,2.6,4,8.5,23,51,4.75,12,1.22,27:00:00,1.83,75:59:00,1.83,75:59:00,1.83,75:59:00,1.83,4.33,4.75,6,7,8,13,17,21,21,12,1.2,4.33,1.9,1.8,4,1.22,10,1.062,23,1.012,,,,,4.33,2.87,3.5,6,15,23,4.75,3.6,1.61,3.1,2.1,3.1,8,1.083,1.72,2,2,1.72,6.5,1.11,23,1.012,4.5,1.18,,,23,1.012,,,,,,,,,1.083,8,1.44,2.62,2.37,1.53,,,,,,,,,,,1.72,2.62,7.5,23,8,3.75,3.25,2.37,12,3.75,34,4,101,5.5,351,6.5,7.5,12,79:00:00,2.25,34:00:00,1.83,79:00:00,1.57,34:00:00,1.83,1.92,1.92,1.5,2.5,1.83,1.83,2.1,1.72,4.75,12,1.22,,,,,,,,,,,,,,,,,,
[109],2.55,3.3,2.7,1.44,1.5,1.33,1.95,1.85,1.66,2.1,5,4.5,5,5,4.33,11,4.33,13,26,6,5.5,6,26,13,4.33,2,1.85,1.83,1.83,5,4.33,1.5,29,12,1.44,1.14,17,7.5,4.5,8,1.04,1.14,5.5,12,,,,,,,1.19,4.5,1.3,3.45,1.375,3,1.475,2.6,1.725,2.075,,,2.2,1.65,2.675,1.45,3,1.375,3.3,1.325,4.1,1.225,5.9,1.13,6.25,1.12,6.6,1.11,,,,,,,,,,,,,,,,,,,,,,,3.2,2.2,3.25,19,3.6,19,3.75,7.5,2.75,8,4.75,8.5,4.75,7.5,2.75,3.2,2,3.6,1.05,11,1.28,3.5,3.4,1.3,7,1.1,15,1.03,29,1.006,,,,,,,,,,,4,6,4.33,6,11,4.33,2.2,10,6.5,2.4,11,5,3.6,4.33,6,11,21,26,3.5,1.95,3.4,1.66,4.5,11,5,4.5,1.18,3.25,1.33,15,6,3.6,1.61,1.4,2.75,2.75,1.4,8,1.083,21,1.015,,,,,2.75,2.5,4,10,29,51,1.83,11,2.1,29:00:00,1.83,29:00:00,1.83,74:59:00,1.83,74:59:00,1.83,4.5,5,6,7,8,13,17,19,19,11,1.22,4,2,1.72,4.33,1.2,11,1.05,26,1.01,,,,,4,2.75,3.5,6.5,15,26,3.5,2.5,2.37,3.6,2.5,2.3,3.4,1.3,1.28,FALTA,1.28,3.5,2.37,1.53,5.5,1.14,15,1.03,41,1.004,,,,,,,,,,,1.3,3.4,2.37,1.53,6,1.12,517,1.025,41,1.004,,,,,,,3.5,2.6,3.75,5.5,3.4,2.6,3.75,6,4.33,4.5,7.5,8,17,17,29,29,4.33,11,53:00:00,1.83,54:00:00,1.83,53:00:00,1.83,54:00:00,1.83,2,1.85,1.72,2,1.72,2,2.1,1.72,1.83,11,2.1,,,,,,,,,,,,,,,,,,,,,
[11],4.5,4,1.7,2.1,1.18,1.22,1.53,2.4,1.53,2.37,7,10,3,3.5,4.75,17,7,15,19,10,7,5,29,13,2.62,1.825,2.025,3.4,1.3,2.1,1,2.75,23,9.5,1.44,1.14,13,6.5,5,8,1.05,1.18,5,11,,,,,,,,,1.15,5.5,1.18,4.65,1.21,4.25,1.375,3,1.525,2.425,1.625,2.25,,,2.05,1.75,2.25,1.625,2.6,1.475,3.3,1.325,3.55,1.275,3.9,1.24,4.8,1.175,6.6,1.11,7,1.1,,,,,,,,,,,,,,,,,4.5,2.5,2.2,1.61,1.16,1.5,21,5,11,2.62,6.5,3.75,11,6.5,4.33,4,6.5,3.75,3,1.95,4,1.025,17,1.14,5.5,2.2,1.61,3.75,1.25,8,1.083,15,1.03,29,1.006,,,,,,,,,11,6.5,3.5,2.87,9.5,6,1.8,7.5,8,3.25,17,7,4.33,4,4.75,7.5,13,15,5.5,2.1,2.2,1.53,10,17,3.5,3.75,1.25,2.62,1.44,10,5.5,3.4,1.83,1.25,3.75,2.2,1.61,5,1.16,15,1.03,,,,,3.75,2.62,3.6,7.5,19,34,2.62,17,1.44,24:00:00,1.83,24:00:00,1.83,79:59:00,1.83,79:59:00,1.83,4,4.5,5.5,7,8.5,13,19,23,23,17,1.14,5.5,1.72,2,3.25,1.33,7,1.1,19,1.02,,,,,5.5,3.1,3.4,5.5,11,19,3.6,2.62,2.2,3.2,2.2,3,7,1.1,3,1.36,1.36,3,2.62,1.44,7,1.1,21,1.015,51,1.002,529,1.006,,,,,,,,,1.1,7,1.53,2.37,2.62,1.44,5.5,1.14,13,1.04,,,,,,,3,2.5,4,7,7,3.4,3.25,2.62,6.5,4,13,5,34,8,51,11,4.75,17,59:00:00,1.83,36:00:00,1.83,59:00:00,1.83,36:00:00,1.83,1.97,1.87,1.72,2,1.83,1.83,2,1.8,2.62,17,1.44,,,,,,,,,,,,,,,,,,
[111],2.2,3.1,3.6,1.28,1.66,1.36,2.5,1.5,2.1,1.66,5.5,3.25,9,5.5,4.75,6.5,3.6,15,41,5,4.33,7.5,29,15,6,1.925,1.925,1.5,2.5,4.5,3.75,1.66,26,11,1.28,1.055,15,6.5,5,12,1.045,1.18,9,23,1.105,6.8,1.125,6,1.15,5.5,1.325,3.3,1.5,2.5,1.65,2.2,,,2.2,1.65,2.5,1.5,3.1,1.35,4.1,1.225,4.5,1.19,5,1.17,6.6,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1.95,4.33,23,3.2,34,4.5,9,2.37,8.5,4,15,5.5,9,2.37,3.2,2.1,3.2,1.1,7,1.5,2.5,5,1.16,11,1.05,26,1.01,51,1.002,,,,,,,,,,,4.33,4,7.5,6,17,3.5,3,11,6,1.9,6.5,3.75,3.25,4.5,7.5,17,34,51,2.5,2,5,2.1,3.25,6.5,5.5,6,1.12,23,7,4.5,1.4,1.53,2.37,3.75,1.25,11,1.05,,,,,,,2.37,2.5,5,13,41,101,1.72,6.5,2.62,35:00:00,1.83,35:00:00,1.83,69:59:00,1.83,69:59:00,1.83,5.5,6,6.5,7.5,8,12,15,17,15,6.5,1.33,3.25,2.62,1.44,6.5,1.11,19,1.02,,,,,,,3.25,2.6,4,9,23,51,3.6,2.6,2.25,2.25,1.57,3.25,1.33,1.33,3.25,2.5,1.5,6.5,1.11,19,1.02,51,1.002,,,,,,,,,,,1.57,2.25,3.75,1.25,13,1.04,34,1.005,,,,,,,,,3.25,2.5,4,6.5,2.25,2.5,5,13,3.75,5,6.5,12,15,29,26,51,4.75,6.5,57:00:00,1.83,76:00:00,1.83,57:00:00,1.83,76:00:00,1.83,2,1.85,1.72,2,1.61,2.2,2.2,1.66,1.72,6.5,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,
